series,year,driver_name,driver_code,team_name,n_races,total_points,avg_points,avg_finish,best_finish,worst_finish,wins,win_rate,podiums,podium_rate,points_finishes,points_rate,top10_finishes,top10_rate,total_laps,avg_kph,finish_std,points_std,dnf_count,dnf_rate,avg_best_lap_s,first_f1_year,f1_entry
F2,2022,A  Cordeel,ACO,Van Amersfoort Racing,13,45.0,3.4615384615384617,13.23076923076923,1,22,1,0.0769230769230769,1,0.0769230769230769,4.0,0.3076923076923077,4,0.3076923076923077,332.0,166.88391666666666,6.469851185226315,7.14860574535791,1.0,0.0769230769230769,97.4302222222222,,False
F2,2022,M  Armstrong,ARM,Hitech Grand Prix,14,46.0,3.2857142857142856,12.357142857142858,1,22,1,0.0714285714285714,1,0.0714285714285714,5.0,0.3571428571428571,5,0.3571428571428571,330.0,169.94438461538462,6.171985628094624,7.032108464077431,1.0,0.0714285714285714,98.40244444444446,,False
F2,2022,D  Beckmann,BEC,Van Amersfoort Racing,7,24.0,3.4285714285714284,11.0,6,21,0,0.0,0,0.0,4.0,0.5714285714285714,4,0.5714285714285714,204.0,169.73600000000002,5.5677643628300215,3.59894164336975,0.0,0.0,98.83133333333336,,False
F2,2022,C  Bölükbasi,BOL,Charouz Racing System,9,26.0,2.888888888888889,13.88888888888889,2,20,0,0.0,1,0.1111111111111111,2.0,0.2222222222222222,2,0.2222222222222222,187.0,171.63055555555556,6.071335200028995,6.253887679764573,2.0,0.2222222222222222,101.4932,,False
F2,2022,R  Boschung,BOS,Campos Racing,11,35.0,3.1818181818181817,12.545454545454543,3,22,0,0.0,1,0.0909090909090909,5.0,0.4545454545454545,5,0.4545454545454545,213.0,171.17,6.314485511324519,5.3069422800362505,2.0,0.1818181818181818,104.6028,,False
F2,2022,J  Daruvala,DAR,PREMA Racing,14,57.0,4.071428571428571,11.785714285714286,1,22,1,0.0714285714285714,1,0.0714285714285714,5.0,0.3571428571428571,5,0.3571428571428571,364.0,172.32785714285714,6.530149856079656,7.446881492010193,0.0,0.0,99.1011,,False
F2,2022,J  Doohan,DOO,Virtuosi Racing,14,68.0,4.857142857142857,12.571428571428571,1,22,1,0.0714285714285714,3,0.2142857142857142,6.0,0.4285714285714285,6,0.4285714285714285,244.0,157.52742857142857,7.67327315290684,8.08471628213615,5.0,0.3571428571428571,102.453,2005.0,False
F2,2022,F  Drugovich,DRU,MP Motorsport,14,143.0,10.214285714285714,5.642857142857143,1,12,1,0.0714285714285714,5,0.3571428571428571,12.0,0.8571428571428571,12,0.8571428571428571,372.0,173.71121428571428,3.6712425659471175,7.93413822986148,0.0,0.0,99.2025,,False
F2,2022,E  Fittipaldi,FIT,Charouz Racing System,14,115.0,8.214285714285714,6.928571428571429,1,14,1,0.0714285714285714,4,0.2857142857142857,11.0,0.7857142857142857,11,0.7857142857142857,376.0,172.89635714285714,4.304993267470582,8.639609779547751,0.0,0.0,99.6688,2020.0,False
F2,2022,L  Ghiotto,GHI,DAMS,1,0.0,0.0,22.0,22,22,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,,,,1.0,1.0,,,False
F2,2022,D  Hauger,HAU,PREMA Racing,14,85.0,6.071428571428571,12.142857142857142,1,22,2,0.1428571428571428,2,0.1428571428571428,6.0,0.4285714285714285,6,0.4285714285714285,329.0,173.46715384615385,7.764387566686396,9.294036845156192,2.0,0.1428571428571428,100.17677777777776,,False
F2,2022,J  Hughes,HUG,Van Amersfoort Racing,8,41.0,5.125,9.125,2,17,0,0.0,1,0.125,5.0,0.625,5,0.625,183.0,177.767625,4.940720016932176,6.7493385919341335,0.0,0.0,98.39,,False
F2,2022,A  Iwasa,IWA,DAMS,14,131.0,9.357142857142858,7.142857142857143,1,16,2,0.1428571428571428,5,0.3571428571428571,10.0,0.7142857142857143,10,0.7142857142857143,372.0,173.29914285714287,5.186626929045398,8.819620983110005,1.0,0.0714285714285714,99.5531,,False
F2,2022,J  Correa,JCO,Van Amersfoort Racing,1,0.0,0.0,17.0,17,17,0,0.0,0,0.0,0.0,0.0,0,0.0,33.0,181.186,,,0.0,0.0,99.996,,False
